symbol,series,date,prev_close,open,high,low,last,close,AVG_PRICE,volume,turnover_lacs,num_trades,deliv_qty,deliv_per
HDFCBANK, EQ,2025-07-25,2014.2,2015.0,2015.0,1999.0,2005.0,2004.6,2005.63,4653299,93328.02,163735,2670096,57.38
HDFCBANK, EQ,2025-07-28,2004.6,2003.0,2021.4,2000.5,2009.9,2008.5,2011.08,6029790,121264.12,219624,4269112,70.8
HDFCBANK, EQ,2025-07-29,2008.5,1999.9,2026.5,1996.3,2023.0,2021.6,2015.07,9947848,200456.35,234546,6912288,69.49
HDFCBANK, EQ,2025-07-30,2021.6,2028.0,2032.6,2017.0,2025.9,2025.8,2023.94,7577018,153354.58,152763,5292067,69.84
HDFCBANK, EQ,2025-07-31,2025.8,2014.6,2031.4,2008.0,2018.0,2018.2,2020.81,11091516,224137.96,199191,4663953,42.05
HDFCBANK, EQ,2025-08-01,2018.2,2014.0,2028.3,2009.3,2016.9,2012.2,2015.24,5658629,114034.74,138595,3877981,68.53
HDFCBANK, EQ,2025-08-04,2012.2,2010.1,2018.5,1988.1,1994.4,1992.0,1997.96,6966973,139197.57,248150,5392274,77.4
HDFCBANK, EQ,2025-08-05,1992.0,1986.5,1994.4,1965.5,1981.0,1977.6,1975.61,11989029,236856.34,194332,8686084,72.45
HDFCBANK, EQ,2025-08-06,1977.6,1971.1,1988.0,1970.0,1987.0,1985.3,1978.39,7040102,139280.75,211058,5193296,73.77
HDFCBANK, EQ,2025-08-07,1985.3,1980.1,2001.6,1976.8,1998.0,1995.4,1986.09,6540593,129902.37,223527,3957541,60.51
HDFCBANK, EQ,2025-08-08,1995.4,1987.1,1992.8,1970.0,1972.0,1973.9,1978.99,6947632,137492.88,178320,4921047,70.83
HDFCBANK, EQ,2025-08-11,1973.9,1975.9,1997.6,1973.1,1992.0,1995.6,1986.89,4552927,90461.56,165998,2893629,63.56
HDFCBANK, EQ,2025-08-12,1995.6,1991.9,1996.0,1967.5,1969.7,1969.9,1978.54,6468901,127989.99,237925,3763379,58.18
HDFCBANK, EQ,2025-08-13,1969.9,1994.0,1994.0,1969.1,1979.9,1980.3,1977.14,6788698,134221.77,177703,4659295,68.63
HDFCBANK, EQ,2025-08-14,1980.3,1978.0,1996.0,1971.2,1989.5,1991.1,1990.18,8755858,174257.43,174342,5399734,61.67
